지역명,선택과목,지원자수,latitude,longitude
서울,화법과 작문,59464,37.5665,126.978
서울,언어와 매체,17636,37.5665,126.978
서울,미선택,538,37.5665,126.978
부산,화법과 작문,17636,35.1796,129.0756
부산,언어와 매체,9546,35.1796,129.0756
부산,미선택,174,35.1796,129.0756
대구,화법과 작문,15069,35.8723,128.6018
대구,언어와 매체,9195,35.8723,128.6018
대구,미선택,82,35.8723,128.6018
인천,화법과 작문,18987,37.456,126.7059
인천,언어와 매체,9014,37.456,126.7059
인천,미선택,148,37.456,126.7059
광주,화법과 작문,11401,35.1595,126.8526
광주,언어와 매체,5347,35.1595,126.8526
광주,미선택,98,35.1595,126.8526
대전,화법과 작문,10221,36.3504,127.3847
대전,언어와 매체,5146,36.3504,127.3847
대전,미선택,95,36.3504,127.3847
울산,화법과 작문,7296,35.5384,129.3114
울산,언어와 매체,3228,35.5384,129.3114
울산,미선택,114,35.5384,129.3114
세종,화법과 작문,3547,36.4801,127.2887
세종,언어와 매체,1754,36.4801,127.2887
세종,미선택,31,36.4801,127.2887
경기,화법과 작문,93901,37.4138,127.5183
경기,언어와 매체,58243,37.4138,127.5183
경기,미선택,1457,37.4138,127.5183
강원,화법과 작문,8779,37.8853,128.6614
강원,언어와 매체,3005,37.8853,128.6614
강원,미선택,190,37.8853,128.6614
충북,화법과 작문,9133,36.6359,127.4913
충북,언어와 매체,3430,36.6359,127.4913
충북,미선택,95,36.6359,127.4913
충남,화법과 작문,12729,36.6588,126.6728
충남,언어와 매체,4657,36.6588,126.6728
충남,미선택,311,36.6588,126.6728
전북,화법과 작문,12175,35.7175,127.153
전북,언어와 매체,4771,35.7175,127.153
전북,미선택,95,35.7175,127.153
전남,화법과 작문,10778,34.8679,126.991
전남,언어와 매체,2985,34.8679,126.991
전남,미선택,178,34.8679,126.991
경북,화법과 작문,14169,36.4919,128.8889
경북,언어와 매체,5557,36.4919,128.8889
경북,미선택,131,36.4919,128.8889
경남,화법과 작문,21679,35.4606,128.2132
경남,언어와 매체,8028,35.4606,128.2132
경남,미선택,368,35.4606,128.2132
제주,화법과 작문,4652,33.4996,126.5312
제주,언어와 매체,2246,33.4996,126.5312
제주,미선택,64,33.4996,126.5312
