지역명,선택과목,지원자수,latitude,longitude
서울,확률과 통계,46496,37.5665,126.978
서울,미적분,54974,37.5665,126.978
서울,기하,3610,37.5665,126.978
서울,미선택,5655,37.5665,126.978
부산,확률과 통계,11316,35.1796,129.0756
부산,미적분,13926,35.1796,129.0756
부산,기하,819,35.1796,129.0756
부산,미선택,1295,35.1796,129.0756
대구,확률과 통계,9635,35.8723,128.6018
대구,미적분,13106,35.8723,128.6018
대구,기하,904,35.8723,128.6018
대구,미선택,701,35.8723,128.6018
인천,확률과 통계,14750,37.456,126.7059
인천,미적분,11618,37.456,126.7059
인천,기하,675,37.456,126.7059
인천,미선택,1106,37.456,126.7059
광주,확률과 통계,7249,35.1595,126.8526
광주,미적분,8471,35.1595,126.8526
광주,기하,554,35.1595,126.8526
광주,미선택,572,35.1595,126.8526
대전,확률과 통계,6318,36.3504,127.3847
대전,미적분,7793,36.3504,127.3847
대전,기하,623,36.3504,127.3847
대전,미선택,728,36.3504,127.3847
울산,확률과 통계,4538,35.5384,129.3114
울산,미적분,5128,35.5384,129.3114
울산,기하,296,35.5384,129.3114
울산,미선택,676,35.5384,129.3114
세종,확률과 통계,2469,36.4801,127.2887
세종,미적분,2392,36.4801,127.2887
세종,기하,152,36.4801,127.2887
세종,미선택,319,36.4801,127.2887
경기,확률과 통계,70378,37.4138,127.5183
경기,미적분,69311,37.4138,127.5183
경기,기하,4316,37.4138,127.5183
경기,미선택,9596,37.4138,127.5183
강원,확률과 통계,6259,37.8853,128.6614
강원,미적분,4220,37.8853,128.6614
강원,기하,267,37.8853,128.6614
강원,미선택,1228,37.8853,128.6614
충북,확률과 통계,6172,36.6359,127.4913
충북,미적분,5445,36.6359,127.4913
충북,기하,320,36.6359,127.4913
충북,미선택,721,36.6359,127.4913
충남,확률과 통계,7999,36.6588,126.6728
충남,미적분,7286,36.6588,126.6728
충남,기하,547,36.6588,126.6728
충남,미선택,1865,36.6588,126.6728
전북,확률과 통계,7506,35.7175,127.153
전북,미적분,8462,35.7175,127.153
전북,기하,445,35.7175,127.153
전북,미선택,628,35.7175,127.153
전남,확률과 통계,6306,34.8679,126.991
전남,미적분,6293,34.8679,126.991
전남,기하,328,34.8679,126.991
전남,미선택,1014,34.8679,126.991
경북,확률과 통계,8812,36.4919,128.8889
경북,미적분,9453,36.4919,128.8889
경북,기하,768,36.4919,128.8889
경북,미선택,824,36.4919,128.8889
경남,확률과 통계,13457,35.4606,128.2132
경남,미적분,13774,35.4606,128.2132
경남,기하,910,35.4606,128.2132
경남,미선택,1934,35.4606,128.2132
제주,확률과 통계,3451,33.4996,126.5312
제주,미적분,2756,33.4996,126.5312
제주,기하,226,33.4996,126.5312
제주,미선택,529,33.4996,126.5312
