지역명,선택과목,지원자수,latitude,longitude
서울,선택함,109909,37.5665,126.978
서울,미선택,826,37.5665,126.978
부산,선택함,27054,35.1796,129.0756
부산,미선택,302,35.1796,129.0756
대구,선택함,24236,35.8723,128.6018
대구,미선택,110,35.8723,128.6018
인천,선택함,27884,37.456,126.7059
인천,미선택,265,37.456,126.7059
광주,선택함,16680,35.1595,126.8526
광주,미선택,166,35.1595,126.8526
대전,선택함,15227,36.3504,127.3847
대전,미선택,235,36.3504,127.3847
울산,선택함,10416,35.5384,129.3114
울산,미선택,222,35.5384,129.3114
세종,선택함,5227,36.4801,127.2887
세종,미선택,105,36.4801,127.2887
경기,선택함,150353,37.4138,127.5183
경기,미선택,3248,37.4138,127.5183
강원,선택함,11458,37.8853,128.6614
강원,미선택,516,37.8853,128.6614
충북,선택함,12368,36.6359,127.4913
충북,미선택,290,36.6359,127.4913
충남,선택함,16991,36.6588,126.6728
충남,미선택,706,36.6588,126.6728
전북,선택함,16780,35.7175,127.153
전북,미선택,261,35.7175,127.153
전남,선택함,13535,34.8679,126.991
전남,미선택,406,34.8679,126.991
경북,선택함,19521,36.4919,128.8889
경북,미선택,336,36.4919,128.8889
경남,선택함,29318,35.4606,128.2132
경남,미선택,757,35.4606,128.2132
제주,선택함,6780,33.4996,126.5312
제주,미선택,182,33.4996,126.5312
